"","cityname","empl_city_current_NSA","empl_city_diff_1mo_NSA","empl_city_diff_12mo_NSA","empl_city_current","empl_city_diff_1mo","empl_city_diff_12mo","uerate_city_curr_NSA","uerate_city_1mo_NSA","uerate_city_12mo_NSA","uerate_city_current","uerate_city_diff_1mo","uerate_city_diff_12mo"
"1","Buellton",3100,-0.03125,0.0333333333333334,3097.76736132439,-0.0239844886131624,0.0334908901593536,0.006,0,-0.007,0.00519686289923567,0.00026493304172295,-0.00693049329641503
"2","Carpinteria",6800,0,0.0303030303030303,6731.76347758307,-0.00718229615823074,0.0305542435259558,0.022,-0.000999999999999997,-0.024,0.0211467750952493,-0.000286226894497599,-0.0230277696149643
"3","Goleta",18400,-0.00540540540540535,0.0337078651685394,18237.2361488163,-0.00847831035989821,0.0329777451992752,0.022,0,-0.023,0.0177155993848523,6.74640367431012e-05,-0.0185334302269711
"4","Guadalupe",3500,0,0.0294117647058822,3447.42775804945,-0.0098232450880843,0.0288052209310115,0.018,-0.000999999999999999,-0.021,0.0173447713070587,-0.000441898511178001,-0.0199756681252901
"5","Lompoc",16800,-0.00591715976331364,0.0306748466257669,16627.0855015152,-0.0112284941814325,0.0305360682032143,0.037,-0.000999999999999997,-0.043,0.0362581069534245,-7.10320144213039e-05,-0.0421192021247539
"6","Santa Barbara",50500,-0.00590551181102361,0.0327198364008181,50118.0498522817,-0.00782820297639375,0.0323303251835068,0.022,0.001,-0.027,0.0173516590937045,0.000614618274590999,-0.02131188046251
"7","Santa Maria",47600,-0.00626304801670141,0.0303030303030303,47122.7620547687,-0.0106595489998595,0.0299589702230512,0.034,-0.001,-0.035,0.0420807542929492,0.000705668535338795,-0.0430388958136581
"8","Solvang",2800,0,0.037037037037037,2794.81861917781,-0.00211654348287416,0.035411312708431,0.021,0,-0.022,0.0204726085779256,0.0003361145765659,-0.0211163532390592
"9","Isla Vista",7700,-0.0128205128205128,0.0266666666666666,7588.45262660745,-0.02042151606527,0.0295947681078808,0.076,-0.00100000000000001,-0.073,0.0733065932812583,0.000268820568360901,-0.0703110864378787
"10","Los Alamos",NA,NA,NA,NA,NA,NA,0.005,0,-0.005,0.00506649372437111,-3.37284901746404e-05,-0.00455225333929757
"11","Mission Canyon",1600,0,0.0666666666666667,1591.90416673998,0.00132725785178067,0.0648726674647968,0.005,0,-0.005,0.00496722389242961,0.0001287152498148,-0.0048385603347137
"12","Mission Hills",1900,0,0,1872.53917649204,-0.0284903824294473,-0.00203846327567136,0.026,-0.001,-0.029,0.0253222877479586,-0.000375979461644103,-0.0277883332543783
"13","Montecito CDP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Orcutt",15600,-0.00636942675159236,0.0331125827814569,15461.4975521853,-0.00870856040438162,0.0325406843492322,0.023,-0.001,-0.026,0.0221123216503839,-0.0004802115786033,-0.0249142398110902
"15","Santa Ynez",2300,0,0.0454545454545454,2291.76362266987,0.00155751021642625,0.0452700177272183,0.006,0,-0.007,0.00583916866504854,-2.20217624752994e-06,-0.00663858736419506
"16","Summerland",NA,NA,NA,NA,NA,NA,0,0,0,-0.000621197539711927,-0.000409015680173741,-0.000263306357930727
"17","Toro Canyon",NA,NA,NA,NA,NA,NA,0.053,-0.00100000000000001,-0.054,0.0522780569786664,0.0010643859250342,-0.0526876413700866
"18","Vandenberg AFB",NA,NA,NA,NA,NA,NA,0.025,0,-0.026,0.0239245279791182,0.000166713096128901,-0.024942523441966
"19","Vandenberg Village",3800,0,0.027027027027027,3749.21180337791,-0.0119310589274991,0.0256416665599881,0.031,0,-0.032,0.0298604955387165,0.000579928426960197,-0.0306985456617113
