"","industrylist_short.i.","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",1174084.82257264,0.000670742545497482,0.0497650958128568,""
"2","Total Nonfarm",1168995.19997304,0.000773864688210724,0.0496691990337028,""
"3","Educational and Health Services",186619.685996941,0.00286465046574746,0.0362617595164412,"0.159113448932855"
"4","Financial Activities",36295.0665908519,-0.019252331862744,-0.0587812298146834,"0.0309454664102947"
"5","Goods Producing",229375.839363573,-0.00492713153006785,0.0382166123529184,"0.195567690021753"
"6","Government",95252.4638092889,-0.00080978546705468,0.013176569519644,"0.0812130186324306"
"7","Information",113088.231609293,0.00329483840358735,0.0683575026368204,"0.0964199380625208"
"8","Leisure and Hospitality",99935.63526536,-1.34314455921825e-05,0.178058271825402,"0.0852059283747157"
"9","Other Services",24553.9306653736,-0.0116627626282862,0.0419084574584025,"0.0209348792553955"
"10","Professional and Business Services",260207.074986099,0.0111094818095481,0.0628759782342596,"0.221854650095419"
"11","Retail Trade",76108.4849269079,-0.00732681435132476,0.00947744350513391,"0.0648907078858392"
"12","Total Farm",5160.57154403312,0.00110260359483649,0.0714986402362612,"0.00439994490639813"
"13","Transportation, Warehousing and Utilitie",17420.2764852631,-0.020026384868439,0.0515521632093014,"0.0148526681851751"
"14","Wholesale Trade",28854.5937043203,0.0056223152083037,0.0211564926717991,"0.0246016592372034"
