"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","406800","410000","408700","409200","406553","410248","409015","408925"
"empl_table_1","380200","399000","395600","396200","383234","399772","399434","399289"
"unemp_table_1","26600","11000","13000","13000","23602","11589","11610","11555"
"uerate_VEN_table","0.065","0.027","0.032","0.032","0.058","0.029","0.029","0.029"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","136100","137700","137800","137500","136258","137904","137530","137570"
"empl_table_2","128600","134700","134200","134100","129522","135286","135272","134957"
"unemp_table_2","7500","2900","3600","3500","6584","3008","3105","3087"
"uerate_SLO_table","0.055","0.021","0.026","0.025","0.048","0.022","0.023","0.022"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","222500","224300","224000","222500","219713","222421","221335","219586"
"empl_table","209800","218900","217600","216300","207967","217080","216503","214302"
"unemp_table","12800"," 5400"," 6300"," 6200","12118"," 5847"," 5868"," 5867"
"uerate_SB_table","0.057","0.024","0.028","0.028","0.055","0.026","0.026","0.027"
"uerate_CA_table","0.078","0.035","0.040","0.039","0.068","0.035","0.035","0.034"
"uerate_US_table","0.053","0.038","0.038","0.038","0.052","0.036","0.035","0.037"
