"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",330800,-0.0128319904506118,0.0273291925465839,"",333324.419502543,0.00162179275657648,0.0264127142830597,""
"2","Total Nonfarm",306100,-0.00487646293888166,0.0285618279569892,"",309082.376342809,0.00166450760940307,0.0277638443651269,""
"3","Educational and Health Services",49900,0.0121703853955375,0.0352697095435686,"0.150846432889964",50684.5176730043,0.0204455702814959,0.0345647679559868,"0.15202686649787"
"4","Financial Activities",15300,0,-0.0192307692307693,"0.0462515114873035",15314.9101246704,-0.00377554841334604,-0.0188972041229534,"0.0459366667346278"
"5","Goods Producing",45700,0.0133037694013303,0.0223713646532437,"0.138149939540508",45293.66884858,0.00418031637548588,0.02258663093943,"0.135857158425903"
"6","Government",43700,-0.0780590717299579,0.0555555555555556,"0.132103990326481",46910.1429169802,-0.00625778465823412,0.0506333868356585,"0.140705729521704"
"7","Information",4200,0,0.024390243902439,"0.0126964933494559",4163.13985164346,-0.00409246330657098,0.0217695252410115,"0.0124872275695911"
"8","Leisure and Hospitality",39200,0.0234986945169713,0.113636363636364,"0.118500604594921",38325.5053596804,0.00433730375414942,0.113142512803929,"0.114956336851616"
"9","Other Services",9600,0.0105263157894737,0.054945054945055,"0.0290205562273277",9560.76819267103,0.00585290296634322,0.0520531818707126,"0.0286772706218027"
"10","Professional and Business Services",44200,0.00454545454545463,0,"0.133615477629988",44063.0422729229,-0.00238351958440797,-0.000449784609025672,"0.13216592665108"
"11","Retail Trade",35900,-0.0055401662049861,-0.00828729281767959,"0.108524788391778",36569.3199845819,-0.00976044176575797,-0.00850930229266944,"0.109688705396817"
"12","Total Farm",24700,-0.101818181818182,0.0122950819672132,"0.0746674727932285",24186.4985617052,-0.00808515106466579,0.0100635572665257,"0.0725467609579275"
"13","Transportation, Warehousing and Utilitie",6600,0,0.0153846153846153,"0.0199516324062878",6704.45748718688,0.0027010202778206,0.0156305142902693,"0.0201098424161998"
"14","Wholesale Trade",11800,0,-0.0483870967741935,"0.035671100362757",11615.8747900707,-0.00910541975208723,-0.0495210101666953,"0.0348415083548606"
