"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",224900,0.0107865168539325,0.0349746893695353,"",222437.521567542,0.0107807102824065,0.0341936707242378,""
"2","Total Nonfarm",195400,0.0161206448257931,0.0426894343649946,"",196910.35983344,0.0111147023225753,0.0420040414415002,""
"3","Educational and Health Services",29500,0.006825938566553,0.0387323943661972,"0.131169408626056",29665.2334761045,0.000509342623682407,0.0384513188116429,"0.133506729803176"
"4","Financial Activities",6900,0.0147058823529411,0.0147058823529411,"0.0306803023566029",6881.02972422746,0.010189845013522,0.0144311785117146,"0.0309676907447921"
"5","Goods Producing",22300,-0.0176211453744494,0.00450450450450446,"0.0991551800800356",22030.7898377735,-0.0123830550944986,0.00433844297893304,"0.0991483417311169"
"6","Government",35400,0.0792682926829269,0.0662650602409638,"0.157403290351267",37379.2331244933,0.0575609455820454,0.0648561017747271,"0.168223155264273"
"7","Information",4200,0,0.024390243902439,"0.0186749666518453",4200.65211926605,3.03835122816842e-05,0.0226271276032153,"0.0189048007303138"
"8","Leisure and Hospitality",28900,0.00347222222222232,0.0864661654135339,"0.128501556247221",28035.2544092036,0.000932041458049149,0.0860700448063449,"0.126171099863002"
"9","Other Services",6400,0,0.0491803278688525,"0.0284570920409071",6356.09045809333,0.00464559913907303,0.0472050672021533,"0.0286052308361822"
"10","Professional and Business Services",34500,0.00290697674418605,0.0550458715596329,"0.153401511783015",34690.0412755765,0.00286229989713593,0.0525398011474409,"0.156120597236155"
"11","Retail Trade",17800,0.0229885057471264,-0.0111111111111111,"0.0791462872387728",17879.7755033113,0.0101970069595989,-0.0107251290809411,"0.0804669330846434"
"12","Total Farm",29500,-0.0231788079470199,-0.0133779264214047,"0.131169408626056",25633.8469494332,-3.32291191059708e-05,-0.0129788981091244,"0.11536369943795"
"13","Transportation, Warehousing and Utilitie",3900,0,0.0263157894736843,"0.0173410404624277",3959.74286785708,0.00159023107404721,0.0281219623502316,"0.0178206020719466"
"14","Wholesale Trade",5600,0,0.0181818181818181,"0.0248999555357937",5488.59573718894,-0.00108750900267207,0.0206323598749696,"0.024701119196449"
