"","V1","V2","V3","V4"
"lf_table_1","428131","436089","431299","431473"
"empl_table_1","406672","416562","413628","415079"
"unemp_table_1","21142","19095","17600","16143"
"uerate_VEN_table","0.050","0.045","0.041","0.038"
"blank","","","",""
"blank.1","","","",""
"lf_table_2","140364","142053","140437","140726"
"empl_table_2","134778","136935","135921","136499"
"unemp_table_2","5582","5052","4521","4213"
"uerate_SLO_table","0.040","0.036","0.033","0.030"
"blank.2","","","",""
"blank.3","","","",""
"lf_table","2762","2830","2855","2856"
"empl_table","2680","2681","2678","2678"
"unemp_table","10300"," 8900"," 8300"," 8300"
"uerate_SB_table","0.048","0.041","0.038","0.038"
"uerate_CA_table","0.052","0.048","0.044","0.042"
"uerate_US_table","0.047","0.042","0.041","0.042"
