"","industrylist_short.i.","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",335229.463200701,8.55286981076286e-05,0.0027125684646141,""
"2","Total Nonfarm",310566.213882053,0.000810836072126175,0.00283281204661301,""
"3","Educational and Health Services",48173.7895562548,0.00697156901608809,0.00352355514716773,"0.143676605137246"
"4","Financial Activities",16639.7785369929,0.00763858443941512,0.0115945317849429,"0.049627544614047"
"5","Goods Producing",45530.4160246912,0.00435164781467745,0.03378300002097,"0.135792838080033"
"6","Government",47246.8726130355,0.00132042010191946,0.0084903595262269,"0.1409121084914"
"7","Information",4733.22053194982,-0.000569754164183478,-0.0590412742587398,"0.0141166610237779"
"8","Leisure and Hospitality",38105.5928210138,-0.00236992960360471,0.00570400520907643,"0.113648568312696"
"9","Other Services",9386.05021987707,-0.00211000280408913,0.00033052299484515,"0.0279935592292333"
"10","Professional and Business Services",42206.9551617202,-0.00097200957546284,-0.0161334807381719,"0.125880734870038"
"11","Retail Trade",38641.3517702324,-0.00736417009890367,-0.0273308078969695,"0.115246450225344"
"12","Total Farm",24707.6457190811,-0.0142900366644657,0.00223233493048225,"0.0736896700581543"
"13","Transportation, Warehousing and Utilitie",6704.27221126471,0.00488296114286135,0.0651902751413898,"0.0199952521921835"
"14","Wholesale Trade",13217.2607823233,0.000507114313364365,0.00825331233893034,"0.0394200077658475"
