"","industrylist_short.i.","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",184589.5741569,-0.00202503130862952,-0.135379323493994,""
"2","Total Nonfarm",160882.72708243,-0.00426113332971789,-0.148777681952413,""
"3","Educational and Health Services",26378.7647273882,0.0183710339241843,-0.0680955338200675,"0.143198941399725"
"4","Financial Activities",6957.30451702468,-0.000536498286273002,-0.0412277482446328,"0.0377682068182311"
"5","Goods Producing",22591.2551728295,0.0535551294665559,-0.0134410809073927,"0.122638184883669"
"6","Government",35947.5464499361,-0.0616134981152225,-0.0982062683619118,"0.195143732117359"
"7","Information",3418.94323810734,-0.0282378530998119,-0.149072668923702,"0.0185599688788457"
"8","Leisure and Hospitality",16212.7203622481,0.0608058044531492,-0.446133047292229,"0.0880118692848874"
"9","Other Services",4768.00256710269,0.0277137347130787,-0.271719542572559,"0.0258834303750158"
"10","Professional and Business Services",21374.0027028379,-0.00206561871819444,-0.0926361951683606,"0.116030246000996"
"11","Retail Trade",15249.4356572504,-0.0480601546967048,-0.179343935552442,"0.0827826119088209"
"12","Total Farm",23287.3925825896,0.0185607384293918,-0.0505823226664602,"0.126417214765341"
"13","Transportation, Warehousing and Utilitie",3232.12473811687,-0.00942149684625326,-0.0848158919801552,"0.0175458117828258"
"14","Wholesale Trade",4793.11994374103,0.0158728472334255,-0.0576767362320604,"0.0260197817842845"
