"","industrylist_short.i.","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",103630.581600097,-0.00846221229914146,-0.178517648742825,""
"2","Total Nonfarm",98762.5697860142,-0.012500103752329,-0.183897613880859,""
"3","Educational and Health Services",16324.7352450359,0.0102288356305533,-0.115275380772718,"0.157484980329207"
"4","Financial Activities",3642.22869597539,0.00460050034220649,-0.0507863988716798,"0.0351366381096182"
"5","Goods Producing",13480.4752975647,-0.00661589054787115,-0.171784044754125,"0.130046359417124"
"6","Government",21548.9530190634,-0.0841090682524412,-0.115705885381713,"0.207883092214568"
"7","Information",1118.90487554281,0.0144539228987726,-0.15205029322531,"0.0107940931151515"
"8","Leisure and Hospitality",11176.6209129179,0.0625823899615461,-0.454885339675284,"0.107821039557325"
"9","Other Services",3040.68624587312,0.0520057854025138,-0.276115036389581,"0.029333548534224"
"10","Professional and Business Services",9986.20912078089,-0.00290055948733703,-0.12260311905894,"0.0963371180814556"
"11","Retail Trade",11877.6245402339,-0.0173560773536267,-0.167448030910779,"0.114583632689862"
"12","Total Farm",4774.27845165068,0.0507378087982964,-0.0597555251031556,"0.0460575400922963"
"13","Transportation, Warehousing and Utilitie",4080.76111625693,0.0442267454221685,0.0570803077268607,"0.0393671673368998"
"14","Wholesale Trade",2607.52037789233,-0.0278171069449136,-0.0355042288275845,"0.025154790522269"
