"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table_1","425300","404600","406000","420000","423797","409528","408738","418244"
"empl_table_1","410800","369300","372300","390100","407683","375654","374965","386312"
"unemp_table_1","14500","35300","33600","30000","15682","32185","35407","33176"
"uerate_VEN_table","0.034","0.087","0.083","0.071","0.037","0.078","0.087","0.079"
"blank","","","","","","","",""
"blank.1","","","","","","","",""
"lf_table_2","142400","128900","129200","136000","141395","132064","130799","134973"
"empl_table_2","138700","119100","119900","127900","136983","122311","121376","126008"
"unemp_table_2"," 3600"," 9800"," 9200"," 8100"," 4100"," 9068","10213"," 9464"
"uerate_SLO_table","0.026","0.076","0.072","0.060","0.029","0.069","0.079","0.069"
"blank.2","","","","","","","",""
"blank.3","","","","","","","",""
"lf_table","220300","209900","211100","218200","218406","210539","211667","216022"
"empl_table","213500","193900","195700","204400","209632","193813","194569","199954"
"unemp_table"," 6900","16000","15400","13800"," 8271","16452","18370","16849"
"uerate_SB_table","0.031","0.076","0.073","0.063","0.038","0.078","0.087","0.078"
"uerate_CA_table"," 3.700","11.300","10.700"," 9.000"," 0.041"," 0.105"," 0.115"," 0.103"
"uerate_US_table","0.033","0.105","0.085","0.077","0.036","0.092","0.081","0.085"
