,cityname,empl_city_current_NSA,empl_city_diff_1mo_NSA,empl_city_diff_12mo_NSA,empl_city_current,empl_city_diff_1mo,empl_city_diff_12mo,uerate_city_curr_NSA,uerate_city_1mo_NSA,uerate_city_12mo_NSA,uerate_city_current,uerate_city_diff_1mo,uerate_city_diff_12mo
1,Buellton,2500,0,-0.074074074,2483.347275,-0.016246529,-0.073570821,0.023,-0.002,0.006,0.022216119,-0.003523386,0.006500009
2,Carpinteria,6600,0.015384615,-0.043478261,6622.008016,0.009394169,-0.044468534,0.059,-0.006,0.015,0.051657536,-0.008948701,0.01366438
3,Goleta,16100,0.012578616,-0.052941176,16068.93549,0.006959806,-0.054101307,0.039,-0.005,0.014,0.039352407,-0.008819731,0.014351531
4,Guadalupe,3100,0,-0.060606061,3104.928342,0.008479814,-0.061069146,0.047,-0.005,0.012,0.04302813,-0.00656934,0.011714087
5,Lompoc,15700,0.006410256,-0.054216867,15733.29042,0.006474357,-0.055299246,0.092,-0.006,0.025,0.086751269,-0.006402211,0.025315252
6,Santa Barbara,47200,0.012875536,-0.052208835,47056.73587,0.008525717,-0.05381918,0.041,-0.006,0.016,0.042376412,-0.010093037,0.016690685
7,Santa Maria,44600,0.011337868,-0.05106383,44486.66863,0.008404369,-0.052168759,0.116,-0.005,0.02,0.087300755,-0.00216265,0.016051139
8,Solvang,2900,0,-0.033333333,2908.316277,0.004907351,-0.031645433,0.054,-0.005,0.013,0.048833011,-0.004451028,0.012043864
9,Isla Vista,10800,0.009345794,-0.052631579,10811.84007,0.00250345,-0.05328951,0.162,-0.012,0.038,0.145731786,-0.017021027,0.036187358
10,Los Alamos,NA,NA,NA,NA,NA,NA,0.086,-0.007,0.021,0.075535353,-0.009216514,0.019712759
11,Mission Canyon,1300,0,-0.071428571,1311.086887,0.005951422,-0.068094764,0.024,-0.002,0.007,0.020846319,-0.005038454,0.005879683
12,Mission Hills,1800,0,-0.052631579,1800.575992,0.014754362,-0.050437403,0.1,-0.009,0.024,0.088646322,-0.013162853,0.022656399
13,Montecito,2700,0,-0.068965517,2667.929337,-0.01894513,-0.072728803,0.1,-0.009,0.024,0.088060729,-0.013267751,0.022113297
14,Orcutt,13900,0.007246377,-0.054421769,13802.75945,0.005707842,-0.056027823,0.075,-0.007,0.019,0.067568105,-0.00928429,0.01852541
15,Santa Ynez,2000,0.052631579,-0.047619048,1984.70256,0.038392597,-0.050069053,0.023,-0.003,0.005,0.026000909,-0.008490154,0.006550475
16,Summerland,NA,NA,NA,NA,NA,NA,0,0,0,0.002039867,-0.001330536,0.000736286
17,Toro Canyon,NA,NA,NA,NA,NA,NA,0.067,-0.006,0.017,0.054187962,-0.007864218,0.013476795
18,Vandenberg AFB,NA,NA,NA,NA,NA,NA,0.079,-0.007,0.02,0.068125278,-0.007886578,0.017124775
19,Vandenberg Village,3600,0.028571429,-0.052631579,3488.761647,0.009642335,-0.05405117,0.059,-0.005,0.015,0.053756378,-0.006687382,0.014925391
