"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",110700,0.0128087831655992,-0.107258064516129,"",110144.176056509,0.00793916156387464,-0.108026078507704,""
"2","Total Nonfarm",105800,0.0134099616858236,-0.110924369747899,"",105315.479693362,0.00823461791933533,-0.111714687581904,""
"3","Educational and Health Services",16200,-0.0299401197604791,-0.124324324324324,"0.146341463414634",16072.9812411539,-0.0155949303921425,-0.123879730326727,"0.145761651746431"
"4","Financial Activities",3600,0,-0.0769230769230769,"0.032520325203252",3623.31228976422,0.00303948144604305,-0.0792268546925265,"0.0328588689444187"
"5","Goods Producing",15400,0.0266666666666666,-0.0191082802547771,"0.139114724480578",15603.853737234,0.0151085866929024,-0.0183125740866225,"0.141507257441785"
"6","Government",22200,0.0183486238532109,-0.142857142857143,"0.200542005420054",21437.8629152861,0.00381948148286093,-0.146282920437021,"0.194414356712167"
"7","Information",1200,0.0909090909090908,0,"0.010840108401084",1165.47570690227,0.0648237045291256,-0.00415192314994905,"0.0105693935405986"
"8","Leisure and Hospitality",13900,0.0610687022900764,-0.264550264550265,"0.125564588979223",14288.0623023902,0.0598134612424552,-0.259767767783597,"0.129574689984693"
"9","Other Services",3200,0,-0.238095238095238,"0.028906955736224",3104.34056898584,0.00828955751472926,-0.241892312957999,"0.0281524505086989"
"10","Professional and Business Services",10700,0,-0.0272727272727272,"0.0966576332429991",10780.2602615962,0.00189739238504916,-0.0278958946700044,"0.0977633531956928"
"11","Retail Trade",13400,0.00751879699248126,-0.00740740740740742,"0.121047877145438",13468.4996642283,0.00838092451308237,-0.00815071315068649,"0.122142291349009"
"12","Total Farm",4900,0,-0.02,"0.044263775971093",4796.77800637258,-0.00210644047588104,-0.0205653266138178,"0.0435007217876666"
"13","Transportation, Warehousing and Utilitie",3400,0.0303030303030303,-0.0555555555555556,"0.030713640469738",3328.74719841745,0.0151401282316932,-0.0532594257602294,"0.0301875353805116"
"14","Wholesale Trade",2600,0,0,"0.023486901535682",2598.75520237132,0.00422558679507379,-0.000368074816069597,"0.023567429408328"
