"","cityname","empl_city_current_NSA","empl_city_diff_1mo_NSA","empl_city_diff_12mo_NSA","empl_city_current","empl_city_diff_1mo","empl_city_diff_12mo","uerate_city_curr_NSA","uerate_city_1mo_NSA","uerate_city_12mo_NSA","uerate_city_current","uerate_city_diff_1mo","uerate_city_diff_12mo"
"1","Buellton",2600,0,0.0833333333333333,2625.51284514084,0.00726459691295678,0.0856471943467743,0.021,0.003,-0.017,0.0189124936177058,2.82409557329988e-05,-0.0158859409195761
"2","Carpinteria",6800,0,0.0793650793650793,6836.17122055379,-6.78546545002101e-05,0.0822013994161661,0.053,0.005,-0.044,0.0482878250237729,-0.000848010565381401,-0.0407599633127571
"3","Goleta",16700,0.00602409638554224,0.0774193548387097,16726.6196039738,0.00264437351187996,0.0802730338101856,0.045,0.005,-0.051,0.0357865804720507,0.000123857638562899,-0.040373409297367
"4","Guadalupe",3200,0,0.0666666666666667,3197.41234106268,0.00536009662571835,0.0679755415404923,0.042,0.004,-0.036,0.0381086835057718,-0.000613133306082401,-0.0336159918713346
"5","Lompoc",16400,0.00613496932515334,0.0789473684210527,16425.6922974421,0.00941590560297323,0.0809036100528768,0.081,0.008,-0.058,0.0759658682833031,0.0054539769610383,-0.0542350517442439
"6","Santa Barbara",49100,0.00408997955010215,0.0767543859649122,49201.2141870761,0.00340179933311657,0.0794030360028228,0.047,0.007,-0.06,0.037063409806436,0.000232140823759401,-0.0465337106676103
"7","Santa Maria",46400,0.00432900432900429,0.0790697674418606,46391.0873645684,0.0069143476691349,0.081300881568066,0.076,-0.00100000000000001,-0.034,0.0844422030510004,0.0043691103899539,-0.0408285380255136
"8","Solvang",3000,0,0.0714285714285714,3000.52596470628,0.0062103773377733,0.0738246876585225,0.048,0.00399999999999999,-0.041,0.043349813603594,-0.0017911966953857,-0.0384314334342898
"9","Isla Vista",11300,0.0089285714285714,0.0761904761904761,11294.8204357947,0.00970082500832525,0.0782490340029709,0.146,0.012,-0.1,0.13303505285362,-0.002425584878428,-0.093647768592698
"10","Los Alamos",NA,NA,NA,NA,NA,NA,0.077,0.008,-0.06,0.0699357638009018,-0.000212867026955701,-0.0556732706794062
"11","Mission Canyon",1300,0,0.0833333333333333,1328.27657633898,0.00175813555070237,0.0865797528338406,0.021,0.002,-0.018,0.0197964694944521,0.0010464195596383,-0.0171333674504977
"12","Mission Hills",1900,0.0555555555555556,0.117647058823529,1924.5302349235,0.049721277111614,0.119187172073647,0.09,0.00800000000000001,-0.068,0.0813561027406213,-0.00188995120366771,-0.0634905782201097
"13","Montecito",2800,0,0.0769230769230769,2814.68539562072,0.00218516359843779,0.0788858117397824,0.09,0.00800000000000001,-0.069,0.0830210492843349,0.00162325625774541,-0.0638474466684081
"14","Orcutt",14500,0.00694444444444442,0.0740740740740742,14505.9057445184,0.00732772723349262,0.0763196991324555,0.067,0.00600000000000001,-0.054,0.0606556098294058,-0.0012115066428816,-0.0501864877471842
"15","Santa Ynez",2000,0,0.0526315789473684,2012.73170234402,0.000376473779292397,0.0548070939925958,0.021,0.002,-0.018,0.0194440283738128,0.000819297991825001,-0.017298891200494
"16","Summerland",NA,NA,NA,NA,NA,NA,0,0,0,0.00188472266681931,-0.00046617785338579,1.08370169051902e-05
"17","Toro Canyon",NA,NA,NA,NA,NA,NA,0.06,0.005,-0.048,0.0554830390486346,-0.000784750107652297,-0.0454966899435794
"18","Vandenberg AFB",NA,NA,NA,NA,NA,NA,0.071,0.006,-0.056,0.065563712305488,-0.0022827363561612,-0.053802713856522
"19","Vandenberg Village",3700,0,0.0571428571428572,3682.1376568597,0.00325636148903019,0.0607070908145584,0.053,0.005,-0.043,0.0479957916719597,-0.000488873343311091,-0.0399035291606794
