,V1,V2,V3,V4,V5,V6,V7,V8
lf_table_1,410500,405600,406900,408800,411054,406152,407303,409146
empl_table_1,361500,380800,383300,382600,365504,381376,384782,386919
unemp_table_1,49000,24800,23600,26300,43420,24568,23774,22975
uerate_VEN_table,0.119,0.061,0.058,0.064,0.104,0.059,0.057,0.055
blank,,,,,,,,
blank.1,,,,,,,,
lf_table_2,132400,128400,130100,130800,131581,129049,129965,130084
empl_table_2,117900,121300,123400,123200,118550,122069,123880,124157
unemp_table_2,14600,7100,6700,7600,12370,6823,6569,6363
uerate_SLO_table,0.11,0.055,0.052,0.058,0.094,0.052,0.051,0.049
blank.2,,,,,,,,
blank.3,,,,,,,,
lf_table,216800,216200,219400,221800,214905,216365,218556,219951
empl_table,193600,203400,207700,208700,193249,204606,207292,208733
unemp_table,23200,12800,11800,13100,21511,12346,12353,11942
uerate_SB_table,0.107,0.059,0.054,0.059,0.1,0.056,0.056,0.054
uerate_CA_table,0.141,0.081,0.075,0.08,0.124,0.076,0.073,0.069
uerate_US_table,0.112,0.057,0.055,0.061,0.111,0.061,0.058,0.059
