"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",215900,0.0140911225927665,0.0598919980363279,"",212415.104014198,0.00860037841095163,0.0612363306872754,""
"2","Total Nonfarm",186200,0.00976138828633411,0.0731988472622478,"",187189.495052931,0.00877717768969521,0.0750149768414305,""
"3","Educational and Health Services",27800,-0.00358422939068104,0.0145985401459854,"0.128763316350162",28116.0879496811,0.00496877796855588,0.0158447747810821,"0.132720485703066"
"4","Financial Activities",6500,-0.0151515151515151,-0.0298507462686567,"0.0301065308012969",6536.79309266454,-0.011774191788644,-0.0294241928632841,"0.030856581319263"
"5","Goods Producing",21600,0.0140845070422535,0.00465116279069777,"0.100046317739694",21661.5955597343,0.0046586804538904,0.00484676353026292,"0.102252400438373"
"6","Government",35600,-0.00280112044817926,0.0229885057471264,"0.164891153311718",34890.806021813,0.00545047469377069,0.0254595183620161,"0.164700179131393"
"7","Information",4000,0.0256410256410255,0.0526315789473684,"0.0185270958777212",4057.15592212085,0.0317677795001368,0.0555459342389348,"0.0191515870031648"
"8","Leisure and Hospitality",22900,0.0315315315315314,0.156565656565657,"0.106067623899954",22736.8667664562,-0.00360922519288287,0.158816058980896,"0.107328160518298"
"9","Other Services",5700,0.0363636363636364,0.0555555555555556,"0.0264011116257527",5675.17138005684,0.0174119230674927,0.0577202657138003,"0.0267893422213394"
"10","Professional and Business Services",35900,0.00560224089635852,0.212837837837838,"0.166280685502547",36818.3496217234,0.00688658875422066,0.215334855182681,"0.173799045348194"
"11","Retail Trade",17900,0.0287356321839081,0.0914634146341464,"0.0829087540528022",18305.6641316745,0.00805934940015063,0.0892696632128029,"0.08641090606279"
"12","Total Farm",29700,0.0421052631578946,-0.0165562913907285,"0.13756368689208",24750.6260344678,-0.00423847930225862,-0.0260404857515714,"0.116834003173858"
"13","Transportation, Warehousing and Utilitie",3300,0,0.03125,"0.01528485409912",3338.75761821978,-0.010118674435862,0.0349170831264023,"0.0157604263270192"
"14","Wholesale Trade",5000,0.0204081632653061,0.0204081632653061,"0.0231588698471515",4956.49793438994,0.0068922135164271,0.0232632616322532,"0.0233968827532401"
