" ","Santa Maria","Santa Barbara","Lompoc","Goleta","Isla Vista","Carpinteria","Solvang","Montecito","Guadalupe","Buellton","Santa Ynez","Mission Canyon","Summerland","Los Olivos","New Cuyama","Los Alamos","Casmalia"
" ","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County","Santa Barbara County"
"2010-11-01"," 1602"," 3562"," 1503"," 2860"," 4686"," 3123"," 2787","19298"," 1252"," 2241"," 3180"," 6488","10425"," 3016"," 2009"," 2122"," 1633"
"2010-12-01"," 1598"," 3515"," 1506"," 2815"," 4726"," 3093"," 2778","19406"," 1240"," 2227"," 3123"," 6506","10415"," 3008"," 1938"," 2104"," 1551"
"2011-01-01"," 1619"," 3406"," 1544"," 2815"," 4473"," 3132"," 2766","17521"," 1292"," 2194"," 3191"," 6061"," 9566"," 3040"," 1904"," 2066"," 1532"
"2011-02-01","1631","3294","1570","2834","4183","3159","2786",NA,"1323","2117","3266","5471","8669","3078","1891","2004","1470"
"2011-03-01","1644","3224","1593","2855","4033","3165","2814",NA,"1338","2038","3324",NA,NA,"3119","1882","1949","1405"
"2011-04-01","1620","3171","1568","2843","3894","3134","2686",NA,"1340","1998","3147",NA,NA,"2974","1878","1919","1368"
"2011-05-01","1578","3136","1532","2865","3807","3136","2561",NA,"1335","2010","3038","4501",NA,"2844","1867","1946","1342"
"2011-06-01","1539","3077","1498","2860","3757","3156","2516",NA,"1330","2037","2998","4327","6473","2782","1885","1984","1333"
"2011-07-01"," 1527"," 3119"," 1481"," 2915"," 3811"," 3220"," 2569","11049"," 1336"," 2061"," 3050"," 4249"," 6291"," 2827"," 1970"," 2014"," 1348"
"2011-08-01"," 1538"," 3120"," 1493"," 2931"," 3856"," 3260"," 2623","10955"," 1326"," 2060"," 3088"," 4188"," 6171"," 2837"," 1943"," 2019"," 1359"
"2011-09-01"," 1540"," 3121"," 1481"," 2958"," 3879"," 3288"," 2680","11059"," 1302"," 2055"," 3098"," 4144"," 6342"," 2842"," 1923"," 2011"," 1316"
"2011-10-01"," 1535"," 3093"," 1464"," 2976"," 3793"," 3316"," 2703","11123"," 1275"," 2067"," 3063"," 4061"," 6408"," 2797"," 1940"," 1993"," 1267"
"2011-11-01"," 1535"," 3078"," 1456"," 2993"," 3711"," 3388"," 2677","11302"," 1258"," 2059"," 3029"," 4020"," 6504"," 2794"," 2019"," 1969"," 1236"
"2011-12-01"," 1532"," 3079"," 1450"," 3000"," 3647"," 3384"," 2612","11285"," 1256"," 2056"," 2921"," 4068"," 6617"," 2735"," 2046"," 1953"," 1225"
"2012-01-01"," 1528"," 3084"," 1437"," 3008"," 3852"," 3383"," 2547","11177"," 1247"," 2019"," 2823"," 4097"," 6640"," 2693"," 2027"," 1918"," 1220"
"2012-02-01"," 1525"," 3115"," 1426"," 2970"," 4106"," 3298"," 2462","11056"," 1239"," 1982"," 2726"," 4140"," 6584"," 2643"," 1955"," 1877"," 1219"
"2012-03-01"," 1518"," 3168"," 1414"," 2969"," 4344"," 3260"," 2428","11082"," 1237"," 1955"," 2681"," 4276"," 6641"," 2634"," 1883"," 1842"," 1218"
"2012-04-01"," 1521"," 3194"," 1405"," 2917"," 4530"," 3298"," 2364","11006"," 1234"," 1930"," 2626"," 4389"," 6652"," 2577"," 1850"," 1820"," 1211"
"2012-05-01"," 1535"," 3207"," 1397"," 2892"," 4633"," 3333"," 2327","10886"," 1234"," 1902"," 2626"," 4462"," 6651"," 2553"," 1849"," 1808"," 1209"
"2012-06-01"," 1551"," 3235"," 1394"," 2912"," 4667"," 3387"," 2283","10726"," 1232"," 1879"," 2593"," 4466"," 6570"," 2518"," 1871"," 1806"," 1206"
"2012-07-01"," 1569"," 3256"," 1396"," 2943"," 4603"," 3420"," 2270","10787"," 1245"," 1886"," 2597"," 4485"," 6707"," 2500"," 1869"," 1809"," 1206"
"2012-08-01"," 1581"," 3240"," 1400"," 2962"," 4451"," 3421"," 2330","10851"," 1260"," 1924"," 2676"," 4476"," 6890"," 2535"," 1872"," 1818"," 1198"
"2012-09-01"," 1590"," 3181"," 1400"," 2964"," 4310"," 3378"," 2426","10941"," 1269"," 1989"," 2791"," 4454"," 7076"," 2635"," 1893"," 1814"," 1195"
"2012-10-01"," 1581"," 3071"," 1395"," 2893"," 4049"," 3313"," 2462","10990"," 1278"," 2045"," 2858"," 4308"," 7140"," 2647"," 1844"," 1794"," 1189"
