" ","Los Angeles County","San Diego County","Orange County","Riverside County","San Bernardino County","Santa Clara County","Alameda County","Sacramento County","Contra Costa County","Fresno County","Kern County","Ventura County","San Francisco County","San Mateo County","San Joaquin County","Stanislaus County","Sonoma County","Tulare County","Santa Barbara County","Monterey County","Solano County","Placer County","San Luis Obispo County","Santa Cruz County","Merced County","Marin County","Butte County","Yolo County","El Dorado County","Shasta County","Imperial County","Kings County","Madera County","Napa County","Humboldt County","Nevada County","Sutter County","Mendocino County","Yuba County","Lake County","Tehama County","Tuolumne County","San Benito County","Calaveras County","Siskiyou County","Amador County","Lassen County","Del Norte County","Glenn County","Colusa County","Plumas County","Inyo County","Mariposa County","Mono County","Trinity County","Modoc County","Sierra County","Alpine County"
" ","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA","CA"
"2010-11-01","2296","2223","2535","1838","1489","2691","2355","1455","2098","1366","1198","2336","3684","2986","1469","1299","2051","1318","2074","2127","1803","1837","2320","2721","1246","3548","1452","1801","1857","1326","2322","1390","1430","2209","1349","1838","1416","1713","1301","1361","1275","1391","1934","1441","1232","1594","1380","1459","1438","1496","1572","1886","1589","1889","1386","1243","1315","1429"
"2010-12-01","2278","2219","2536","1848","1482","2693","2379","1454","2105","1347","1188","2306","3724","3060","1434","1284","2025","1310","2046","2099","1803","1831","2268","2676","1214","3517","1466","1768","1854","1352","2256","1384","1406","2185","1352","1826","1441","1695","1309","1357","1272","1397","1926","1448","1230","1605","1406","1459","1415","1505","1568","1886","1582","1882","1366","1244","1334","1433"
"2011-01-01","2280","2211","2549","1843","1486","2661","2377","1448","2114","1298","1194","2279","3516","3073","1423","1222","1972","1325","2022","2122","1813","1783","2125","2573","1159","3547","1389","1641","1794","1351","2101","1390","1393","2163","1336","1822","1439","1657","1314","1338","1289","1391","1945","1442","1228","1584","1406","1430","1430","1505","1557","1883","1576","1868","1349","1248","1318","1429"
"2011-02-01","2279","2210","2550","1841","1483","2642","2368","1445","2129","1275","1214","2272","3395","3130","1424","1184","1948","1312","1998","2104","1812","1774","2048","2497","1103","3573","1328","1618","1746","1353","2212","1369","1377","2156","1337","1816","1419","1630","1295","1344","1287","1358","1938","1405","1230","1560","1382","1394","1433","1490","1535","1867","1548","1845","1354","1236","1284","1408"
"2011-03-01","2275","2213","2552","1836","1482","2631","2361","1447","2143","1263","1227","2279","3317","3163","1426","1160","1925","1320","1990","2054","1804","1774","2024","2505","1061","3553","1293","1612","1697","1319","2210","1368","1374","2168","1324","1808","1413","1636","1289","1353","1269","1355","1952","1402","1217","1564","1375","1422","1417","1491","1524","1842","1533","1817","1353","1218","1281","1400"
"2011-04-01","2278","2225","2558","1832","1480","2637","2340","1453","2167","1251","1238","2294","3276","3185","1429","1141","1924","1288","1958","2045","1805","1777","1985","2533","1028","3570","1288","1624","1671","1245","2355","1360","1377","2186","1362","1716","1401","1689","1274","1246","1266","1341","1933","1388","1229","1556","1351","1452","1432","1490","1502","1783","1511","1812","1367","1212","1260","1379"
"2011-05-01","2285","2234","2564","1830","1475","2655","2328","1465","2180","1244","1238","2308","3247","3205","1441","1142","1939","1192","1962","2049","1803","1786","1992","2539","1004","3589","1261","1633","1677","1276","2198","1352","1376","2217","1373","1673","1424","1650","1289","1295","1273","1362","1912","1400","1222","1575","1356","1428","1439","1493","1498","1767","1511","1785","1354","1210","1264","1386"
"2011-06-01","2295","2238","2582","1826","1475","2681","2309","1473","2201","1244","1244","2315","3245","3236","1454","1143","1971","1236","1967","2043","1801","1816","1984","2504"," 990","3647","1240","1672","1671","1284","2088","1349","1368","2205","1393","1640","1412","1695","1284","1304","1247","1372","1935","1425","1202","1594","1354","1437","1412","1460","1537","1802","1531","1823","1350","1239","1264","1427"
"2011-07-01","2299","2235","2593","1822","1475","2703","2297","1478","2205","1240","1265","2323","3234","3267","1467","1142","1992","1259","2081","2063","1798","1835","1987","2486"," 987","3729","1223","1697","1658","1196","2010","1351","1368","2281","1412","1599","1419","1771","1286","1208","1262","1354","1925","1406","1225","1568","1353","1522","1424","1462","1546","1791","1517","1829","1410","1238","1270","1439"
