" ","California","Texas","New York","Florida","Illinois","Pennsylvania","Ohio","Michigan","Georgia","North Carolina","New Jersey","Virginia","Washington","Massachusetts","Indiana","Arizona","Tennessee","Missouri","Maryland","Wisconsin","Minnesota","Colorado","Alabama","South Carolina","Louisiana","Kentucky","Oregon","Oklahoma","Connecticut","Iowa","Mississippi","Arkansas","Kansas","Utah","Nevada","New Mexico","West Virginia","Nebraska","Idaho","Hawaii","Maine","New Hampshire","Rhode Island","Montana","Delaware","South Dakota","Alaska","North Dakota","Vermont","District of Columbia","Wyoming","Puerto Rico"
"2010-11-01"," 2107"," 1245"," 1658"," 1322"," 1526"," 1236"," 1012"," 1185"," 1145"," 1031"," 1796"," 1380"," 1402"," 1718"," 1030"," 1164"," 1063","  907"," 1724","  867"," 1272"," 1352","  935"," 1063"," 1195","  960"," 1233","  945"," 1620"," 1037","  940","  829","  921"," 1376"," 1237"," 1163"," 1050"," 1054","  739"," 2112",NA," 1454"," 1882",NA," 1289",NA,NA," 1114"," 2011"," 2272","20133"," 1063"
"2010-12-01"," 2103"," 1245"," 1668"," 1328"," 1526"," 1231"," 1018"," 1189"," 1148"," 1030"," 1807"," 1380"," 1406"," 1699"," 1033"," 1163"," 1062","  904"," 1726","  874"," 1283"," 1366","  934"," 1068"," 1193","  959"," 1228","  924"," 1627"," 1025","  941","  828","  918"," 1299"," 1238"," 1157"," 1068"," 1058","  738"," 2110"," 1077"," 1468",NA,NA," 1287",NA,NA," 1120"," 2033"," 2304","18408","  972"
"2011-01-01","2093","1248","1677","1328","1515","1222","1025","1181","1146","1029","1812","1380","1410","1685","1033","1159","1061"," 904","1727"," 879","1288","1386"," 934","1067","1191"," 959","1229"," 916","1626","1023"," 939"," 831"," 914","1267","1238","1141","1033","1056",NA,"2121","1083","1474",NA,NA,"1273","1507","1463",NA,"2225","2330",NA," 950"
"2011-02-01","2086","1245","1685","1328","1505","1217","1020","1164","1144","1030","1813","1382","1415","1684","1027","1155","1054"," 901","1728"," 889","1292","1395"," 936","1062","1195"," 957","1231"," 914","1624","1009"," 930"," 837"," 902","1246","1237","1129","1007","1054"," 873","2105","1019","1471","1564","1045","1263",NA,"1479","1057","2295","2355",NA," 945"
"2011-03-01","2080","1243","1691","1326","1496","1218","1013","1149","1140","1032","1818","1386","1417","1685","1017","1151","1047"," 900","1728"," 908","1297","1399"," 934","1058","1198"," 954","1231"," 910","1622","1001"," 920"," 844"," 897","1238","1235","1123"," 981","1057",NA,"2076"," 920","1468",NA,NA,"1260",NA,"1487","1025","2326","2367",NA," 965"
"2011-04-01","2077","1244","1697","1323","1491","1221","1010","1140","1138","1035","1824","1395","1419","1691","1012","1150","1038"," 904","1730"," 931","1304","1406"," 929","1059","1207"," 954","1236"," 903","1620"," 996"," 912"," 850"," 907","1227","1234","1127"," 953","1064"," 920","2038"," 923","1468","1429","1107","1260",NA,"1482","1007","2328","2370",NA," 971"
"2011-05-01","2079","1245","1700","1322","1490","1225","1011","1144","1137","1042","1827","1406","1423","1702","1012","1151","1036"," 912","1733"," 951","1315","1415"," 929","1064","1214"," 958","1242"," 900","1624","1003"," 913"," 860"," 930","1220","1233","1139"," 938","1077"," 930","2014"," 928","1467","1416","1138","1264"," 973","1474"," 985","2364","2364",NA," 941"
"2011-06-01","2084","1248","1705","1324","1487","1232","1017","1150","1138","1050","1833","1417","1429","1723","1009","1154","1037"," 920","1739"," 979","1328","1427"," 931","1073","1223"," 967","1250"," 901","1632","1007"," 919"," 867"," 959","1221","1233","1148"," 932","1087"," 941","1991"," 989","1475","1424","1152","1275"," 976","1471"," 975",NA,"2358","8858"," 894"
"2011-07-01","2090","1252","1710","1325","1483","1237","1027","1160","1139","1058","1840","1430","1433","1748","1002","1156","1042"," 928","1745","1010","1337","1437"," 932","1083","1237"," 980","1259"," 904","1642","1000"," 926"," 875"," 985","1232","1234","1159"," 940","1097"," 949","1967"," 991","1491","1441","1166","1287"," 988","1481","1034","2125","2374",NA," 868"
"2011-08-01","2095","1253","1713","1327","1482","1239","1034","1169","1138","1063","1846","1439","1434","1769"," 991","1158","1048"," 934","1751","1034","1343","1445"," 933","1095","1249"," 989","1268"," 904","1649"," 989"," 933"," 882","1007","1242","1236","1163"," 953","1109"," 952","1949","1006","1507","1447","1176","1298"," 990","1492","1001","2207","2395",NA," 843"
"2011-09-01","2097","1252","1712","1327","1482","1239","1034","1172","1136","1065","1847","1445","1432","1785"," 980","1155","1054"," 938","1754","1045","1343","1448"," 930","1103","1253"," 995","1277"," 902","1652"," 986"," 938"," 887","1018","1249","1234","1160"," 966","1113"," 955","1934","1012","1519","1450","1187","1292"," 993","1500"," 937","2251","2409",NA," 820"
"2011-10-01","2097","1249","1711","1326","1478","1232","1031","1135","1134","1064","1844","1447","1427","1792"," 968","1152","1057"," 937","1756","1044","1338","1450"," 926","1101","1251"," 996","1282"," 897","1649"," 971"," 945"," 891","1022","1251","1229","1155"," 960","1107"," 958","1922","1009","1525","1451","1190","1281"," 993","1496"," 877","2260","2416",NA," 796"
"2011-11-01","2095","1246","1702","1325","1468","1223","1030","1088","1131","1062","1843","1449","1423","1789"," 957","1147","1055"," 936","1753","1036","1331","1447"," 923","1094","1251"," 994","1285"," 894","1645"," 964"," 943"," 893","1025","1250","1223","1151"," 947","1095"," 959","1915","1003","1524","1454","1173","1271"," 997","1492"," 835",NA,"2417",NA," 791"
"2011-12-01","2091","1243","1701","1325","1461","1213","1027","1050","1126","1058","1842","1449","1418","1784"," 947","1143","1052"," 937","1749","1038","1325","1441"," 921","1085","1252"," 989","1286"," 894","1639"," 959"," 940"," 892","1028","1248","1217","1143"," 943","1080"," 956","1914"," 949","1521","1461","1137","1269"," 987","1492"," 825",NA,"2418",NA," 803"
