"","cities_alpha.i.","current_ZHVI","momgrowth","yoygrowth","recovery_ratio"
"1","Santa Barbara County",802120,0.035593524506456,0.218049953836435,1.0505869702173
"2","California",700828,0.0257976033477605,0.212142386448347,1.33392718129683
"3","United States",298933,0.0198279891239455,0.16732856144297,1.38128243160195
"4","Carpinteria",1151915,0.0421231569252927,0.229777107803469,1.16815705570249
"5","Goleta",1058989,0.039269893049283,0.232478891106624,1.09234934912219
"6","Lompoc",466456,0.0369698505644405,0.240610762548904,0.932938122267423
"7","Montecito",4126752,0.034463465477877,0.239796152885936,1.07541658935641
"8","Santa Barbara",1468019,0.0387987735539974,0.246262745800497,1.15567113866772
"9","Santa Maria",512099,0.0348946713227924,0.22210581581271,1.01685831667027
"10","Solvang",1042019,0.0318255949475135,0.247384669897996,1.04343076182074
